,Country,Country code,Job,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand
20,INDIA,IN,Software_Engineer,"₹523,765",₹259k , ₹1m.,"Noida, Uttar Pradesh",-7%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']"
21,INDIA,IN,Primary_School_Teacher,"₹239,512",₹100k , ₹506k.,"Mumbai, Maharashtra",+26%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']"
22,INDIA,IN,Primary_School_Teacher,"₹239,512",₹100k , ₹506k.,"New Delhi, Delhi",+11%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']"
23,INDIA,IN,Primary_School_Teacher,"₹239,512",₹100k , ₹506k.,"Bangalore, Karnataka",+3%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']"
24,INDIA,IN,Primary_School_Teacher,"₹239,512",₹100k , ₹506k.,"Pune, Maharashtra",-1%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']"
25,INDIA,IN,Primary_School_Teacher,"₹239,512",₹100k , ₹506k.,"Kolkata, West Bengal",-6%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']"
26,INDIA,IN,Primary_School_Teacher,"₹239,512",₹100k , ₹506k.,"Hyderabad, Andhra Pradesh",-12%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']"
27,INDIA,IN,Primary_School_Teacher,"₹239,512",₹100k , ₹506k.,"Chennai, Tamil Nadu",-14%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']"
28,INDIA,IN,Secondary_School_Teacher,"₹347,010",₹126k , ₹712k.,"New Delhi, Delhi",+22%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']"
29,INDIA,IN,Secondary_School_Teacher,"₹347,010",₹126k , ₹712k.,"Mumbai, Maharashtra",+13%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']"
30,INDIA,IN,Secondary_School_Teacher,"₹347,010",₹126k , ₹712k.,"Bangalore, Karnataka",+6%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']"
31,INDIA,IN,Secondary_School_Teacher,"₹347,010",₹126k , ₹712k.,"Pune, Maharashtra",-11%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']"
32,INDIA,IN,Secondary_School_Teacher,"₹347,010",₹126k , ₹712k.,"Chennai, Tamil Nadu",-11%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']"
33,INDIA,IN,Secondary_School_Teacher,"₹347,010",₹126k , ₹712k.,"Kolkata, West Bengal",-12%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']"
34,INDIA,IN,Secondary_School_Teacher,"₹347,010",₹126k , ₹712k.,"Hyderabad, Andhra Pradesh",-29%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']"
35,INDIA,IN,High_School_Teacher,"₹303,063",₹119k , ₹665k.,"New Delhi, Delhi",+48%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']"
36,INDIA,IN,High_School_Teacher,"₹303,063",₹119k , ₹665k.,"Mumbai, Maharashtra",+31%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']"
37,INDIA,IN,High_School_Teacher,"₹303,063",₹119k , ₹665k.,"Kolkata, West Bengal",+6%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']"
38,INDIA,IN,High_School_Teacher,"₹303,063",₹119k , ₹665k.,"Bangalore, Karnataka",-0%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']"
39,INDIA,IN,High_School_Teacher,"₹303,063",₹119k , ₹665k.,"Pune, Maharashtra",-1%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']"
40,INDIA,IN,High_School_Teacher,"₹303,063",₹119k , ₹665k.,"Chennai, Tamil Nadu",-2%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']"
41,INDIA,IN,High_School_Teacher,"₹303,063",₹119k , ₹665k.,"Hyderabad, Andhra Pradesh",-14%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']"
42,INDIA,IN,Accountant,"₹249,284",₹123k , ₹507k.,"Bangalore, Karnataka",+19%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']"
43,INDIA,IN,Accountant,"₹249,284",₹123k , ₹507k.,"Chennai, Tamil Nadu",+15%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']"
44,INDIA,IN,Accountant,"₹249,284",₹123k , ₹507k.,"Mumbai, Maharashtra",+2%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']"
45,INDIA,IN,Accountant,"₹249,284",₹123k , ₹507k.,"New Delhi, Delhi",+2%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']"
46,INDIA,IN,Accountant,"₹249,284",₹123k , ₹507k.,"Delhi, Delhi",+1%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']"
47,INDIA,IN,Accountant,"₹249,284",₹123k , ₹507k.,"Pune, Maharashtra",-2%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']"
48,INDIA,IN,Accountant,"₹249,284",₹123k , ₹507k.,"Kolkata, West Bengal",-8%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']"
49,INDIA,IN,Finance_Manager,"₹993,805",₹352k , ₹2m.,"Bangalore, Karnataka",+24%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']"
50,INDIA,IN,Finance_Manager,"₹993,805",₹352k , ₹2m.,"Chennai, Tamil Nadu",+10%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']"
51,INDIA,IN,Finance_Manager,"₹993,805",₹352k , ₹2m.,"Mumbai, Maharashtra",+8%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']"
52,INDIA,IN,Finance_Manager,"₹993,805",₹352k , ₹2m.,"Pune, Maharashtra",+2%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']"
53,INDIA,IN,Finance_Manager,"₹993,805",₹352k , ₹2m.,"New Delhi, Delhi",-0%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']"
54,INDIA,IN,Finance_Manager,"₹993,805",₹352k , ₹2m.,"Hyderabad, Andhra Pradesh",-0%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']"
55,INDIA,IN,Finance_Manager,"₹993,805",₹352k , ₹2m.,"Delhi, Delhi",-4%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']"
56,INDIA,IN,Chartered_Accountant,"₹788,523",₹412k , ₹2m.,"Bangalore, Karnataka",+17%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']"
57,INDIA,IN,Chartered_Accountant,"₹788,523",₹412k , ₹2m.,"Chennai, Tamil Nadu",+13%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']"
58,INDIA,IN,Chartered_Accountant,"₹788,523",₹412k , ₹2m.,"Hyderabad, Andhra Pradesh",+12%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']"
59,INDIA,IN,Chartered_Accountant,"₹788,523",₹412k , ₹2m.,"New Delhi, Delhi",+9%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']"
60,INDIA,IN,Chartered_Accountant,"₹788,523",₹412k , ₹2m.,"Mumbai, Maharashtra",+4%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']"
61,INDIA,IN,Chartered_Accountant,"₹788,523",₹412k , ₹2m.,"Pune, Maharashtra",-6%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']"
62,INDIA,IN,Chartered_Accountant,"₹788,523",₹412k , ₹2m.,"Ahmedabad, Gujarat",-14%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']"
63,INDIA,IN,Financial_Analyst,"₹410,835",₹219k , ₹999k.,"Gurgaon, Haryana",+11%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']"
64,INDIA,IN,Financial_Analyst,"₹410,835",₹219k , ₹999k.,"Mumbai, Maharashtra",+9%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']"
65,INDIA,IN,Financial_Analyst,"₹410,835",₹219k , ₹999k.,"New Delhi, Delhi",+9%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']"
66,INDIA,IN,Financial_Analyst,"₹410,835",₹219k , ₹999k.,"Chennai, Tamil Nadu",+1%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']"
67,INDIA,IN,Financial_Analyst,"₹410,835",₹219k , ₹999k.,"Bangalore, Karnataka",-0%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']"
68,INDIA,IN,Financial_Analyst,"₹410,835",₹219k , ₹999k.,"Hyderabad, Andhra Pradesh",-4%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']"
69,INDIA,IN,Financial_Analyst,"₹410,835",₹219k , ₹999k.,"Pune, Maharashtra",-14%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']"
