,Country,Country code,Job,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert
10,INDIA,IN,Data_Scientist,813593,₹343k , ₹2m.,"Mumbai, Maharashtra",-3%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014
11,INDIA,IN,Data_Scientist,813593,₹343k , ₹2m.,"New Delhi, Delhi",-4%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014
12,INDIA,IN,Data_Scientist,813593,₹343k , ₹2m.,"Chennai, Tamil Nadu",-5%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014
13,INDIA,IN,Data_Scientist,813593,₹343k , ₹2m.,"Pune, Maharashtra",-11%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014
14,INDIA,IN,Software_Engineer,523765,₹259k , ₹1m.,"Gurgaon, Haryana",+27%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014
15,INDIA,IN,Software_Engineer,523765,₹259k , ₹1m.,"Bangalore, Karnataka",+17%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014
16,INDIA,IN,Software_Engineer,523765,₹259k , ₹1m.,"Hyderabad, Andhra Pradesh",+4%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014
17,INDIA,IN,Software_Engineer,523765,₹259k , ₹1m.,"Pune, Maharashtra",-0%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014
18,INDIA,IN,Software_Engineer,523765,₹259k , ₹1m.,"Chennai, Tamil Nadu",-5%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014
19,INDIA,IN,Software_Engineer,523765,₹259k , ₹1m.,"Mumbai, Maharashtra",-6%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014
20,INDIA,IN,Software_Engineer,523765,₹259k , ₹1m.,"Noida, Uttar Pradesh",-7%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014
21,INDIA,IN,Primary_School_Teacher,239512,₹100k , ₹506k.,"Mumbai, Maharashtra",+26%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014
22,INDIA,IN,Primary_School_Teacher,239512,₹100k , ₹506k.,"New Delhi, Delhi",+11%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014
23,INDIA,IN,Primary_School_Teacher,239512,₹100k , ₹506k.,"Bangalore, Karnataka",+3%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014
24,INDIA,IN,Primary_School_Teacher,239512,₹100k , ₹506k.,"Pune, Maharashtra",-1%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014
25,INDIA,IN,Primary_School_Teacher,239512,₹100k , ₹506k.,"Kolkata, West Bengal",-6%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014
26,INDIA,IN,Primary_School_Teacher,239512,₹100k , ₹506k.,"Hyderabad, Andhra Pradesh",-12%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014
27,INDIA,IN,Primary_School_Teacher,239512,₹100k , ₹506k.,"Chennai, Tamil Nadu",-14%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014
28,INDIA,IN,Secondary_School_Teacher,347010,₹126k , ₹712k.,"New Delhi, Delhi",+22%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014
29,INDIA,IN,Secondary_School_Teacher,347010,₹126k , ₹712k.,"Mumbai, Maharashtra",+13%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014
30,INDIA,IN,Secondary_School_Teacher,347010,₹126k , ₹712k.,"Bangalore, Karnataka",+6%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014
31,INDIA,IN,Secondary_School_Teacher,347010,₹126k , ₹712k.,"Pune, Maharashtra",-11%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014
32,INDIA,IN,Secondary_School_Teacher,347010,₹126k , ₹712k.,"Chennai, Tamil Nadu",-11%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014
33,INDIA,IN,Secondary_School_Teacher,347010,₹126k , ₹712k.,"Kolkata, West Bengal",-12%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014
34,INDIA,IN,Secondary_School_Teacher,347010,₹126k , ₹712k.,"Hyderabad, Andhra Pradesh",-29%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014
35,INDIA,IN,High_School_Teacher,303063,₹119k , ₹665k.,"New Delhi, Delhi",+48%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014
36,INDIA,IN,High_School_Teacher,303063,₹119k , ₹665k.,"Mumbai, Maharashtra",+31%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014
37,INDIA,IN,High_School_Teacher,303063,₹119k , ₹665k.,"Kolkata, West Bengal",+6%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014
